Item,Name,Category,Subsystem,Material,Qty,Sample IDs
7672,"Combustor Cooling Hole 5376","COMB","CHL","Air",1,"GE9X-COMB-CHL-5376"
7673,"Combustor Cooling Hole 5377","COMB","CHL","Air",1,"GE9X-COMB-CHL-5377"
7674,"Combustor Cooling Hole 5378","COMB","CHL","Air",1,"GE9X-COMB-CHL-5378"
7675,"Combustor Cooling Hole 5379","COMB","CHL","Air",1,"GE9X-COMB-CHL-5379"
7676,"Combustor Cooling Hole 5380","COMB","CHL","Air",1,"GE9X-COMB-CHL-5380"
7677,"Combustor Cooling Hole 5381","COMB","CHL","Air",1,"GE9X-COMB-CHL-5381"
7678,"Combustor Cooling Hole 5382","COMB","CHL","Air",1,"GE9X-COMB-CHL-5382"
7679,"Combustor Cooling Hole 5383","COMB","CHL","Air",1,"GE9X-COMB-CHL-5383"
7680,"Combustor Cooling Hole 5384","COMB","CHL","Air",1,"GE9X-COMB-CHL-5384"
7681,"Combustor Cooling Hole 5385","COMB","CHL","Air",1,"GE9X-COMB-CHL-5385"
7682,"Combustor Cooling Hole 5386","COMB","CHL","Air",1,"GE9X-COMB-CHL-5386"
7683,"Combustor Cooling Hole 5387","COMB","CHL","Air",1,"GE9X-COMB-CHL-5387"
7684,"Combustor Cooling Hole 5388","COMB","CHL","Air",1,"GE9X-COMB-CHL-5388"
7685,"Combustor Cooling Hole 5389","COMB","CHL","Air",1,"GE9X-COMB-CHL-5389"
7686,"Combustor Cooling Hole 5390","COMB","CHL","Air",1,"GE9X-COMB-CHL-5390"
7687,"Combustor Cooling Hole 5391","COMB","CHL","Air",1,"GE9X-COMB-CHL-5391"
7688,"Combustor Cooling Hole 5392","COMB","CHL","Air",1,"GE9X-COMB-CHL-5392"
7689,"Combustor Cooling Hole 5393","COMB","CHL","Air",1,"GE9X-COMB-CHL-5393"
7690,"Combustor Cooling Hole 5394","COMB","CHL","Air",1,"GE9X-COMB-CHL-5394"
7691,"Combustor Cooling Hole 5395","COMB","CHL","Air",1,"GE9X-COMB-CHL-5395"
7692,"Combustor Cooling Hole 5396","COMB","CHL","Air",1,"GE9X-COMB-CHL-5396"
7693,"Combustor Cooling Hole 5397","COMB","CHL","Air",1,"GE9X-COMB-CHL-5397"
7694,"Combustor Cooling Hole 5398","COMB","CHL","Air",1,"GE9X-COMB-CHL-5398"
7695,"Combustor Cooling Hole 5399","COMB","CHL","Air",1,"GE9X-COMB-CHL-5399"
7696,"Combustor Cooling Hole 5400","COMB","CHL","Air",1,"GE9X-COMB-CHL-5400"
7697,"Combustor Cooling Hole 5401","COMB","CHL","Air",1,"GE9X-COMB-CHL-5401"
7698,"Combustor Cooling Hole 5402","COMB","CHL","Air",1,"GE9X-COMB-CHL-5402"
7699,"Combustor Cooling Hole 5403","COMB","CHL","Air",1,"GE9X-COMB-CHL-5403"
7700,"Combustor Cooling Hole 5404","COMB","CHL","Air",1,"GE9X-COMB-CHL-5404"
7701,"Combustor Cooling Hole 5405","COMB","CHL","Air",1,"GE9X-COMB-CHL-5405"
7702,"Combustor Cooling Hole 5406","COMB","CHL","Air",1,"GE9X-COMB-CHL-5406"
7703,"Combustor Cooling Hole 5407","COMB","CHL","Air",1,"GE9X-COMB-CHL-5407"
7704,"Combustor Cooling Hole 5408","COMB","CHL","Air",1,"GE9X-COMB-CHL-5408"
7705,"Combustor Cooling Hole 5409","COMB","CHL","Air",1,"GE9X-COMB-CHL-5409"
7706,"Combustor Cooling Hole 5410","COMB","CHL","Air",1,"GE9X-COMB-CHL-5410"
7707,"Combustor Cooling Hole 5411","COMB","CHL","Air",1,"GE9X-COMB-CHL-5411"
7708,"Combustor Cooling Hole 5412","COMB","CHL","Air",1,"GE9X-COMB-CHL-5412"
7709,"Combustor Cooling Hole 5413","COMB","CHL","Air",1,"GE9X-COMB-CHL-5413"
7710,"Combustor Cooling Hole 5414","COMB","CHL","Air",1,"GE9X-COMB-CHL-5414"
7711,"Combustor Cooling Hole 5415","COMB","CHL","Air",1,"GE9X-COMB-CHL-5415"
7712,"Combustor Cooling Hole 5416","COMB","CHL","Air",1,"GE9X-COMB-CHL-5416"
7713,"Combustor Cooling Hole 5417","COMB","CHL","Air",1,"GE9X-COMB-CHL-5417"
7714,"Combustor Cooling Hole 5418","COMB","CHL","Air",1,"GE9X-COMB-CHL-5418"
7715,"Combustor Cooling Hole 5419","COMB","CHL","Air",1,"GE9X-COMB-CHL-5419"
7716,"Combustor Cooling Hole 5420","COMB","CHL","Air",1,"GE9X-COMB-CHL-5420"
7717,"Combustor Cooling Hole 5421","COMB","CHL","Air",1,"GE9X-COMB-CHL-5421"
7718,"Combustor Cooling Hole 5422","COMB","CHL","Air",1,"GE9X-COMB-CHL-5422"
7719,"Combustor Cooling Hole 5423","COMB","CHL","Air",1,"GE9X-COMB-CHL-5423"
7720,"Combustor Cooling Hole 5424","COMB","CHL","Air",1,"GE9X-COMB-CHL-5424"
7721,"Combustor Cooling Hole 5425","COMB","CHL","Air",1,"GE9X-COMB-CHL-5425"
7722,"Combustor Cooling Hole 5426","COMB","CHL","Air",1,"GE9X-COMB-CHL-5426"
7723,"Combustor Cooling Hole 5427","COMB","CHL","Air",1,"GE9X-COMB-CHL-5427"
7724,"Combustor Cooling Hole 5428","COMB","CHL","Air",1,"GE9X-COMB-CHL-5428"
7725,"Combustor Cooling Hole 5429","COMB","CHL","Air",1,"GE9X-COMB-CHL-5429"
7726,"Combustor Cooling Hole 5430","COMB","CHL","Air",1,"GE9X-COMB-CHL-5430"
7727,"Combustor Cooling Hole 5431","COMB","CHL","Air",1,"GE9X-COMB-CHL-5431"
7728,"Combustor Cooling Hole 5432","COMB","CHL","Air",1,"GE9X-COMB-CHL-5432"
7729,"Combustor Cooling Hole 5433","COMB","CHL","Air",1,"GE9X-COMB-CHL-5433"
7730,"Combustor Cooling Hole 5434","COMB","CHL","Air",1,"GE9X-COMB-CHL-5434"
7731,"Combustor Cooling Hole 5435","COMB","CHL","Air",1,"GE9X-COMB-CHL-5435"
7732,"Combustor Cooling Hole 5436","COMB","CHL","Air",1,"GE9X-COMB-CHL-5436"
7733,"Combustor Cooling Hole 5437","COMB","CHL","Air",1,"GE9X-COMB-CHL-5437"
7734,"Combustor Cooling Hole 5438","COMB","CHL","Air",1,"GE9X-COMB-CHL-5438"
7735,"Combustor Cooling Hole 5439","COMB","CHL","Air",1,"GE9X-COMB-CHL-5439"
7736,"Combustor Cooling Hole 5440","COMB","CHL","Air",1,"GE9X-COMB-CHL-5440"
7737,"Combustor Cooling Hole 5441","COMB","CHL","Air",1,"GE9X-COMB-CHL-5441"
7738,"Combustor Cooling Hole 5442","COMB","CHL","Air",1,"GE9X-COMB-CHL-5442"
7739,"Combustor Cooling Hole 5443","COMB","CHL","Air",1,"GE9X-COMB-CHL-5443"
7740,"Combustor Cooling Hole 5444","COMB","CHL","Air",1,"GE9X-COMB-CHL-5444"
7741,"Combustor Cooling Hole 5445","COMB","CHL","Air",1,"GE9X-COMB-CHL-5445"
7742,"Combustor Cooling Hole 5446","COMB","CHL","Air",1,"GE9X-COMB-CHL-5446"
7743,"Combustor Cooling Hole 5447","COMB","CHL","Air",1,"GE9X-COMB-CHL-5447"
7744,"Combustor Cooling Hole 5448","COMB","CHL","Air",1,"GE9X-COMB-CHL-5448"
7745,"Combustor Cooling Hole 5449","COMB","CHL","Air",1,"GE9X-COMB-CHL-5449"
7746,"Combustor Cooling Hole 5450","COMB","CHL","Air",1,"GE9X-COMB-CHL-5450"
7747,"Combustor Cooling Hole 5451","COMB","CHL","Air",1,"GE9X-COMB-CHL-5451"
7748,"Combustor Cooling Hole 5452","COMB","CHL","Air",1,"GE9X-COMB-CHL-5452"
7749,"Combustor Cooling Hole 5453","COMB","CHL","Air",1,"GE9X-COMB-CHL-5453"
7750,"Combustor Cooling Hole 5454","COMB","CHL","Air",1,"GE9X-COMB-CHL-5454"
7751,"Combustor Cooling Hole 5455","COMB","CHL","Air",1,"GE9X-COMB-CHL-5455"
7752,"Combustor Cooling Hole 5456","COMB","CHL","Air",1,"GE9X-COMB-CHL-5456"
7753,"Combustor Cooling Hole 5457","COMB","CHL","Air",1,"GE9X-COMB-CHL-5457"
7754,"Combustor Cooling Hole 5458","COMB","CHL","Air",1,"GE9X-COMB-CHL-5458"
7755,"Combustor Cooling Hole 5459","COMB","CHL","Air",1,"GE9X-COMB-CHL-5459"
7756,"Combustor Cooling Hole 5460","COMB","CHL","Air",1,"GE9X-COMB-CHL-5460"
7757,"Combustor Cooling Hole 5461","COMB","CHL","Air",1,"GE9X-COMB-CHL-5461"
7758,"Combustor Cooling Hole 5462","COMB","CHL","Air",1,"GE9X-COMB-CHL-5462"
7759,"Combustor Cooling Hole 5463","COMB","CHL","Air",1,"GE9X-COMB-CHL-5463"
7760,"Combustor Cooling Hole 5464","COMB","CHL","Air",1,"GE9X-COMB-CHL-5464"
7761,"Combustor Cooling Hole 5465","COMB","CHL","Air",1,"GE9X-COMB-CHL-5465"
7762,"Combustor Cooling Hole 5466","COMB","CHL","Air",1,"GE9X-COMB-CHL-5466"
7763,"Combustor Cooling Hole 5467","COMB","CHL","Air",1,"GE9X-COMB-CHL-5467"
7764,"Combustor Cooling Hole 5468","COMB","CHL","Air",1,"GE9X-COMB-CHL-5468"
7765,"Combustor Cooling Hole 5469","COMB","CHL","Air",1,"GE9X-COMB-CHL-5469"
7766,"Combustor Cooling Hole 5470","COMB","CHL","Air",1,"GE9X-COMB-CHL-5470"
7767,"Combustor Cooling Hole 5471","COMB","CHL","Air",1,"GE9X-COMB-CHL-5471"
7768,"Combustor Cooling Hole 5472","COMB","CHL","Air",1,"GE9X-COMB-CHL-5472"
7769,"Combustor Cooling Hole 5473","COMB","CHL","Air",1,"GE9X-COMB-CHL-5473"
7770,"Combustor Cooling Hole 5474","COMB","CHL","Air",1,"GE9X-COMB-CHL-5474"
7771,"Combustor Cooling Hole 5475","COMB","CHL","Air",1,"GE9X-COMB-CHL-5475"
7772,"Combustor Cooling Hole 5476","COMB","CHL","Air",1,"GE9X-COMB-CHL-5476"
7773,"Combustor Cooling Hole 5477","COMB","CHL","Air",1,"GE9X-COMB-CHL-5477"
7774,"Combustor Cooling Hole 5478","COMB","CHL","Air",1,"GE9X-COMB-CHL-5478"
7775,"Combustor Cooling Hole 5479","COMB","CHL","Air",1,"GE9X-COMB-CHL-5479"
7776,"Combustor Cooling Hole 5480","COMB","CHL","Air",1,"GE9X-COMB-CHL-5480"
7777,"Combustor Cooling Hole 5481","COMB","CHL","Air",1,"GE9X-COMB-CHL-5481"
7778,"Combustor Cooling Hole 5482","COMB","CHL","Air",1,"GE9X-COMB-CHL-5482"
7779,"Combustor Cooling Hole 5483","COMB","CHL","Air",1,"GE9X-COMB-CHL-5483"
7780,"Combustor Cooling Hole 5484","COMB","CHL","Air",1,"GE9X-COMB-CHL-5484"
7781,"Combustor Cooling Hole 5485","COMB","CHL","Air",1,"GE9X-COMB-CHL-5485"
7782,"Combustor Cooling Hole 5486","COMB","CHL","Air",1,"GE9X-COMB-CHL-5486"
7783,"Combustor Cooling Hole 5487","COMB","CHL","Air",1,"GE9X-COMB-CHL-5487"
7784,"Combustor Cooling Hole 5488","COMB","CHL","Air",1,"GE9X-COMB-CHL-5488"
7785,"Combustor Cooling Hole 5489","COMB","CHL","Air",1,"GE9X-COMB-CHL-5489"
7786,"Combustor Cooling Hole 5490","COMB","CHL","Air",1,"GE9X-COMB-CHL-5490"
7787,"Combustor Cooling Hole 5491","COMB","CHL","Air",1,"GE9X-COMB-CHL-5491"
7788,"Combustor Cooling Hole 5492","COMB","CHL","Air",1,"GE9X-COMB-CHL-5492"
7789,"Combustor Cooling Hole 5493","COMB","CHL","Air",1,"GE9X-COMB-CHL-5493"
7790,"Combustor Cooling Hole 5494","COMB","CHL","Air",1,"GE9X-COMB-CHL-5494"
7791,"Combustor Cooling Hole 5495","COMB","CHL","Air",1,"GE9X-COMB-CHL-5495"
7792,"Combustor Cooling Hole 5496","COMB","CHL","Air",1,"GE9X-COMB-CHL-5496"
7793,"Combustor Cooling Hole 5497","COMB","CHL","Air",1,"GE9X-COMB-CHL-5497"
7794,"Combustor Cooling Hole 5498","COMB","CHL","Air",1,"GE9X-COMB-CHL-5498"
7795,"Combustor Cooling Hole 5499","COMB","CHL","Air",1,"GE9X-COMB-CHL-5499"
7796,"Combustor Cooling Hole 5500","COMB","CHL","Air",1,"GE9X-COMB-CHL-5500"
7797,"Combustor Cooling Hole 5501","COMB","CHL","Air",1,"GE9X-COMB-CHL-5501"
7798,"Combustor Cooling Hole 5502","COMB","CHL","Air",1,"GE9X-COMB-CHL-5502"
7799,"Combustor Cooling Hole 5503","COMB","CHL","Air",1,"GE9X-COMB-CHL-5503"
7800,"Combustor Cooling Hole 5504","COMB","CHL","Air",1,"GE9X-COMB-CHL-5504"
7801,"Combustor Cooling Hole 5505","COMB","CHL","Air",1,"GE9X-COMB-CHL-5505"
7802,"Combustor Cooling Hole 5506","COMB","CHL","Air",1,"GE9X-COMB-CHL-5506"
7803,"Combustor Cooling Hole 5507","COMB","CHL","Air",1,"GE9X-COMB-CHL-5507"
7804,"Combustor Cooling Hole 5508","COMB","CHL","Air",1,"GE9X-COMB-CHL-5508"
7805,"Combustor Cooling Hole 5509","COMB","CHL","Air",1,"GE9X-COMB-CHL-5509"
7806,"Combustor Cooling Hole 5510","COMB","CHL","Air",1,"GE9X-COMB-CHL-5510"
7807,"Combustor Cooling Hole 5511","COMB","CHL","Air",1,"GE9X-COMB-CHL-5511"
7808,"Combustor Cooling Hole 5512","COMB","CHL","Air",1,"GE9X-COMB-CHL-5512"
7809,"Combustor Cooling Hole 5513","COMB","CHL","Air",1,"GE9X-COMB-CHL-5513"
7810,"Combustor Cooling Hole 5514","COMB","CHL","Air",1,"GE9X-COMB-CHL-5514"
7811,"Combustor Cooling Hole 5515","COMB","CHL","Air",1,"GE9X-COMB-CHL-5515"
7812,"Combustor Cooling Hole 5516","COMB","CHL","Air",1,"GE9X-COMB-CHL-5516"
7813,"Combustor Cooling Hole 5517","COMB","CHL","Air",1,"GE9X-COMB-CHL-5517"
7814,"Combustor Cooling Hole 5518","COMB","CHL","Air",1,"GE9X-COMB-CHL-5518"
7815,"Combustor Cooling Hole 5519","COMB","CHL","Air",1,"GE9X-COMB-CHL-5519"
7816,"Combustor Cooling Hole 5520","COMB","CHL","Air",1,"GE9X-COMB-CHL-5520"
7817,"Combustor Cooling Hole 5521","COMB","CHL","Air",1,"GE9X-COMB-CHL-5521"
7818,"Combustor Cooling Hole 5522","COMB","CHL","Air",1,"GE9X-COMB-CHL-5522"
7819,"Combustor Cooling Hole 5523","COMB","CHL","Air",1,"GE9X-COMB-CHL-5523"
7820,"Combustor Cooling Hole 5524","COMB","CHL","Air",1,"GE9X-COMB-CHL-5524"
7821,"Combustor Cooling Hole 5525","COMB","CHL","Air",1,"GE9X-COMB-CHL-5525"
7822,"Combustor Cooling Hole 5526","COMB","CHL","Air",1,"GE9X-COMB-CHL-5526"
7823,"Combustor Cooling Hole 5527","COMB","CHL","Air",1,"GE9X-COMB-CHL-5527"
7824,"Combustor Cooling Hole 5528","COMB","CHL","Air",1,"GE9X-COMB-CHL-5528"
7825,"Combustor Cooling Hole 5529","COMB","CHL","Air",1,"GE9X-COMB-CHL-5529"
7826,"Combustor Cooling Hole 5530","COMB","CHL","Air",1,"GE9X-COMB-CHL-5530"
7827,"Combustor Cooling Hole 5531","COMB","CHL","Air",1,"GE9X-COMB-CHL-5531"
7828,"Combustor Cooling Hole 5532","COMB","CHL","Air",1,"GE9X-COMB-CHL-5532"
7829,"Combustor Cooling Hole 5533","COMB","CHL","Air",1,"GE9X-COMB-CHL-5533"
7830,"Combustor Cooling Hole 5534","COMB","CHL","Air",1,"GE9X-COMB-CHL-5534"
7831,"Combustor Cooling Hole 5535","COMB","CHL","Air",1,"GE9X-COMB-CHL-5535"
7832,"Combustor Cooling Hole 5536","COMB","CHL","Air",1,"GE9X-COMB-CHL-5536"
7833,"Combustor Cooling Hole 5537","COMB","CHL","Air",1,"GE9X-COMB-CHL-5537"
7834,"Combustor Cooling Hole 5538","COMB","CHL","Air",1,"GE9X-COMB-CHL-5538"
7835,"Combustor Cooling Hole 5539","COMB","CHL","Air",1,"GE9X-COMB-CHL-5539"
7836,"Combustor Cooling Hole 5540","COMB","CHL","Air",1,"GE9X-COMB-CHL-5540"
7837,"Combustor Cooling Hole 5541","COMB","CHL","Air",1,"GE9X-COMB-CHL-5541"
7838,"Combustor Cooling Hole 5542","COMB","CHL","Air",1,"GE9X-COMB-CHL-5542"
7839,"Combustor Cooling Hole 5543","COMB","CHL","Air",1,"GE9X-COMB-CHL-5543"
7840,"Combustor Cooling Hole 5544","COMB","CHL","Air",1,"GE9X-COMB-CHL-5544"
7841,"Combustor Cooling Hole 5545","COMB","CHL","Air",1,"GE9X-COMB-CHL-5545"
7842,"Combustor Cooling Hole 5546","COMB","CHL","Air",1,"GE9X-COMB-CHL-5546"
7843,"Combustor Cooling Hole 5547","COMB","CHL","Air",1,"GE9X-COMB-CHL-5547"
7844,"Combustor Cooling Hole 5548","COMB","CHL","Air",1,"GE9X-COMB-CHL-5548"
7845,"Combustor Cooling Hole 5549","COMB","CHL","Air",1,"GE9X-COMB-CHL-5549"
7846,"Combustor Cooling Hole 5550","COMB","CHL","Air",1,"GE9X-COMB-CHL-5550"
7847,"Combustor Cooling Hole 5551","COMB","CHL","Air",1,"GE9X-COMB-CHL-5551"
7848,"Combustor Cooling Hole 5552","COMB","CHL","Air",1,"GE9X-COMB-CHL-5552"
7849,"Combustor Cooling Hole 5553","COMB","CHL","Air",1,"GE9X-COMB-CHL-5553"
7850,"Combustor Cooling Hole 5554","COMB","CHL","Air",1,"GE9X-COMB-CHL-5554"
7851,"Combustor Cooling Hole 5555","COMB","CHL","Air",1,"GE9X-COMB-CHL-5555"
7852,"Combustor Cooling Hole 5556","COMB","CHL","Air",1,"GE9X-COMB-CHL-5556"
7853,"Combustor Cooling Hole 5557","COMB","CHL","Air",1,"GE9X-COMB-CHL-5557"
7854,"Combustor Cooling Hole 5558","COMB","CHL","Air",1,"GE9X-COMB-CHL-5558"
7855,"Combustor Cooling Hole 5559","COMB","CHL","Air",1,"GE9X-COMB-CHL-5559"
7856,"Combustor Cooling Hole 5560","COMB","CHL","Air",1,"GE9X-COMB-CHL-5560"
7857,"Combustor Cooling Hole 5561","COMB","CHL","Air",1,"GE9X-COMB-CHL-5561"
7858,"Combustor Cooling Hole 5562","COMB","CHL","Air",1,"GE9X-COMB-CHL-5562"
7859,"Combustor Cooling Hole 5563","COMB","CHL","Air",1,"GE9X-COMB-CHL-5563"
7860,"Combustor Cooling Hole 5564","COMB","CHL","Air",1,"GE9X-COMB-CHL-5564"
7861,"Combustor Cooling Hole 5565","COMB","CHL","Air",1,"GE9X-COMB-CHL-5565"
7862,"Combustor Cooling Hole 5566","COMB","CHL","Air",1,"GE9X-COMB-CHL-5566"
7863,"Combustor Cooling Hole 5567","COMB","CHL","Air",1,"GE9X-COMB-CHL-5567"
7864,"Combustor Cooling Hole 5568","COMB","CHL","Air",1,"GE9X-COMB-CHL-5568"
7865,"Combustor Cooling Hole 5569","COMB","CHL","Air",1,"GE9X-COMB-CHL-5569"
7866,"Combustor Cooling Hole 5570","COMB","CHL","Air",1,"GE9X-COMB-CHL-5570"
7867,"Combustor Cooling Hole 5571","COMB","CHL","Air",1,"GE9X-COMB-CHL-5571"
7868,"Combustor Cooling Hole 5572","COMB","CHL","Air",1,"GE9X-COMB-CHL-5572"
7869,"Combustor Cooling Hole 5573","COMB","CHL","Air",1,"GE9X-COMB-CHL-5573"
7870,"Combustor Cooling Hole 5574","COMB","CHL","Air",1,"GE9X-COMB-CHL-5574"
7871,"Combustor Cooling Hole 5575","COMB","CHL","Air",1,"GE9X-COMB-CHL-5575"
7872,"Combustor Cooling Hole 5576","COMB","CHL","Air",1,"GE9X-COMB-CHL-5576"
7873,"Combustor Cooling Hole 5577","COMB","CHL","Air",1,"GE9X-COMB-CHL-5577"
7874,"Combustor Cooling Hole 5578","COMB","CHL","Air",1,"GE9X-COMB-CHL-5578"
7875,"Combustor Cooling Hole 5579","COMB","CHL","Air",1,"GE9X-COMB-CHL-5579"
7876,"Combustor Cooling Hole 5580","COMB","CHL","Air",1,"GE9X-COMB-CHL-5580"
7877,"Combustor Cooling Hole 5581","COMB","CHL","Air",1,"GE9X-COMB-CHL-5581"
7878,"Combustor Cooling Hole 5582","COMB","CHL","Air",1,"GE9X-COMB-CHL-5582"
7879,"Combustor Cooling Hole 5583","COMB","CHL","Air",1,"GE9X-COMB-CHL-5583"
7880,"Combustor Cooling Hole 5584","COMB","CHL","Air",1,"GE9X-COMB-CHL-5584"
7881,"Combustor Cooling Hole 5585","COMB","CHL","Air",1,"GE9X-COMB-CHL-5585"
7882,"Combustor Cooling Hole 5586","COMB","CHL","Air",1,"GE9X-COMB-CHL-5586"
7883,"Combustor Cooling Hole 5587","COMB","CHL","Air",1,"GE9X-COMB-CHL-5587"
7884,"Combustor Cooling Hole 5588","COMB","CHL","Air",1,"GE9X-COMB-CHL-5588"
7885,"Combustor Cooling Hole 5589","COMB","CHL","Air",1,"GE9X-COMB-CHL-5589"
7886,"Combustor Cooling Hole 5590","COMB","CHL","Air",1,"GE9X-COMB-CHL-5590"
7887,"Combustor Cooling Hole 5591","COMB","CHL","Air",1,"GE9X-COMB-CHL-5591"
7888,"Combustor Cooling Hole 5592","COMB","CHL","Air",1,"GE9X-COMB-CHL-5592"
7889,"Combustor Cooling Hole 5593","COMB","CHL","Air",1,"GE9X-COMB-CHL-5593"
7890,"Combustor Cooling Hole 5594","COMB","CHL","Air",1,"GE9X-COMB-CHL-5594"
7891,"Combustor Cooling Hole 5595","COMB","CHL","Air",1,"GE9X-COMB-CHL-5595"
7892,"Combustor Cooling Hole 5596","COMB","CHL","Air",1,"GE9X-COMB-CHL-5596"
7893,"Combustor Cooling Hole 5597","COMB","CHL","Air",1,"GE9X-COMB-CHL-5597"
7894,"Combustor Cooling Hole 5598","COMB","CHL","Air",1,"GE9X-COMB-CHL-5598"
7895,"Combustor Cooling Hole 5599","COMB","CHL","Air",1,"GE9X-COMB-CHL-5599"
7896,"Combustor Cooling Hole 5600","COMB","CHL","Air",1,"GE9X-COMB-CHL-5600"
7897,"Combustor Cooling Hole 5601","COMB","CHL","Air",1,"GE9X-COMB-CHL-5601"
7898,"Combustor Cooling Hole 5602","COMB","CHL","Air",1,"GE9X-COMB-CHL-5602"
7899,"Combustor Cooling Hole 5603","COMB","CHL","Air",1,"GE9X-COMB-CHL-5603"
7900,"Combustor Cooling Hole 5604","COMB","CHL","Air",1,"GE9X-COMB-CHL-5604"
7901,"Combustor Cooling Hole 5605","COMB","CHL","Air",1,"GE9X-COMB-CHL-5605"
7902,"Combustor Cooling Hole 5606","COMB","CHL","Air",1,"GE9X-COMB-CHL-5606"
7903,"Combustor Cooling Hole 5607","COMB","CHL","Air",1,"GE9X-COMB-CHL-5607"
7904,"Combustor Cooling Hole 5608","COMB","CHL","Air",1,"GE9X-COMB-CHL-5608"
7905,"Combustor Cooling Hole 5609","COMB","CHL","Air",1,"GE9X-COMB-CHL-5609"
7906,"Combustor Cooling Hole 5610","COMB","CHL","Air",1,"GE9X-COMB-CHL-5610"
7907,"Combustor Cooling Hole 5611","COMB","CHL","Air",1,"GE9X-COMB-CHL-5611"
7908,"Combustor Cooling Hole 5612","COMB","CHL","Air",1,"GE9X-COMB-CHL-5612"
7909,"Combustor Cooling Hole 5613","COMB","CHL","Air",1,"GE9X-COMB-CHL-5613"
7910,"Combustor Cooling Hole 5614","COMB","CHL","Air",1,"GE9X-COMB-CHL-5614"
7911,"Combustor Cooling Hole 5615","COMB","CHL","Air",1,"GE9X-COMB-CHL-5615"
7912,"Combustor Cooling Hole 5616","COMB","CHL","Air",1,"GE9X-COMB-CHL-5616"
7913,"Combustor Cooling Hole 5617","COMB","CHL","Air",1,"GE9X-COMB-CHL-5617"
7914,"Combustor Cooling Hole 5618","COMB","CHL","Air",1,"GE9X-COMB-CHL-5618"
7915,"Combustor Cooling Hole 5619","COMB","CHL","Air",1,"GE9X-COMB-CHL-5619"
7916,"Combustor Cooling Hole 5620","COMB","CHL","Air",1,"GE9X-COMB-CHL-5620"
7917,"Combustor Cooling Hole 5621","COMB","CHL","Air",1,"GE9X-COMB-CHL-5621"
7918,"Combustor Cooling Hole 5622","COMB","CHL","Air",1,"GE9X-COMB-CHL-5622"
7919,"Combustor Cooling Hole 5623","COMB","CHL","Air",1,"GE9X-COMB-CHL-5623"
7920,"Combustor Cooling Hole 5624","COMB","CHL","Air",1,"GE9X-COMB-CHL-5624"
7921,"Combustor Cooling Hole 5625","COMB","CHL","Air",1,"GE9X-COMB-CHL-5625"
7922,"Combustor Cooling Hole 5626","COMB","CHL","Air",1,"GE9X-COMB-CHL-5626"
7923,"Combustor Cooling Hole 5627","COMB","CHL","Air",1,"GE9X-COMB-CHL-5627"
7924,"Combustor Cooling Hole 5628","COMB","CHL","Air",1,"GE9X-COMB-CHL-5628"
7925,"Combustor Cooling Hole 5629","COMB","CHL","Air",1,"GE9X-COMB-CHL-5629"
7926,"Combustor Cooling Hole 5630","COMB","CHL","Air",1,"GE9X-COMB-CHL-5630"
7927,"Combustor Cooling Hole 5631","COMB","CHL","Air",1,"GE9X-COMB-CHL-5631"
7928,"Combustor Cooling Hole 5632","COMB","CHL","Air",1,"GE9X-COMB-CHL-5632"
7929,"Combustor Cooling Hole 5633","COMB","CHL","Air",1,"GE9X-COMB-CHL-5633"
7930,"Combustor Cooling Hole 5634","COMB","CHL","Air",1,"GE9X-COMB-CHL-5634"
7931,"Combustor Cooling Hole 5635","COMB","CHL","Air",1,"GE9X-COMB-CHL-5635"
7932,"Combustor Cooling Hole 5636","COMB","CHL","Air",1,"GE9X-COMB-CHL-5636"
7933,"Combustor Cooling Hole 5637","COMB","CHL","Air",1,"GE9X-COMB-CHL-5637"
7934,"Combustor Cooling Hole 5638","COMB","CHL","Air",1,"GE9X-COMB-CHL-5638"
7935,"Combustor Cooling Hole 5639","COMB","CHL","Air",1,"GE9X-COMB-CHL-5639"
7936,"Combustor Cooling Hole 5640","COMB","CHL","Air",1,"GE9X-COMB-CHL-5640"
7937,"Combustor Cooling Hole 5641","COMB","CHL","Air",1,"GE9X-COMB-CHL-5641"
7938,"Combustor Cooling Hole 5642","COMB","CHL","Air",1,"GE9X-COMB-CHL-5642"
7939,"Combustor Cooling Hole 5643","COMB","CHL","Air",1,"GE9X-COMB-CHL-5643"
7940,"Combustor Cooling Hole 5644","COMB","CHL","Air",1,"GE9X-COMB-CHL-5644"
7941,"Combustor Cooling Hole 5645","COMB","CHL","Air",1,"GE9X-COMB-CHL-5645"
7942,"Combustor Cooling Hole 5646","COMB","CHL","Air",1,"GE9X-COMB-CHL-5646"
7943,"Combustor Cooling Hole 5647","COMB","CHL","Air",1,"GE9X-COMB-CHL-5647"
7944,"Combustor Cooling Hole 5648","COMB","CHL","Air",1,"GE9X-COMB-CHL-5648"
7945,"Combustor Cooling Hole 5649","COMB","CHL","Air",1,"GE9X-COMB-CHL-5649"
7946,"Combustor Cooling Hole 5650","COMB","CHL","Air",1,"GE9X-COMB-CHL-5650"
7947,"Combustor Cooling Hole 5651","COMB","CHL","Air",1,"GE9X-COMB-CHL-5651"
7948,"Combustor Cooling Hole 5652","COMB","CHL","Air",1,"GE9X-COMB-CHL-5652"
7949,"Combustor Cooling Hole 5653","COMB","CHL","Air",1,"GE9X-COMB-CHL-5653"
7950,"Combustor Cooling Hole 5654","COMB","CHL","Air",1,"GE9X-COMB-CHL-5654"
